,Run,Window Size,Number of Obstacles,Momentum Enabled,Tagger Average Speed,Taggee Average Speed,Run Length,End State,Winner
0,1697412997,640,10,False,1.7434425,1.1263779,180,TAGGEE_HIT_OBS,TAGGER
1,1697413003,640,10,False,1.7552342414855957,1.2485408782958984,119,TAGGEE_OOB,TAGGER
2,1697413017,640,10,False,1.7522237300872805,1.2185441255569458,135,TAGGER_OOB,TAGGEE
3,1697413026,640,10,False,1.5766944885253906,1.5909583568572998,102,TAGGER_HIT_OBS,TAGGEE
4,1697413033,640,10,False,1.7529029846191406,1.5908609628677368,154,TAGGER_OOB,TAGGEE
5,1697413043,640,10,False,1.5646188259124756,1.5617225170135498,115,TAGGER_OOB,TAGGEE
6,1697413056,640,10,False,1.6961662769317627,1.5353260040283203,136,TAGGEE_HIT_OBS,TAGGER
7,1697413058,640,10,False,1.2565447092056274,1.5094053745269775,120,TAGGEE_OOB,TAGGER
8,1697413060,640,10,False,1.5942869186401367,1.3651206493377686,103,TAGGER_OOB,TAGGEE
9,1697413077,640,10,False,1.7656190395355225,1.5584181547164917,130,TAGGEE_OOB,TAGGER
10,1697413082,640,10,False,1.555261492729187,1.174593210220337,140,TAGGEE_OOB,TAGGER
11,1697413087,640,10,False,1.6377935409545898,1.5647447109222412,160,TAGGEE_HIT_OBS,TAGGER
12,1697413089,640,10,False,1.6937201023101809,1.2457835674285889,109,TAGGEE_OOB,TAGGER
13,1697413098,640,10,False,1.7616742849349976,1.5675681829452517,132,TAGGER_OOB,TAGGEE
14,1697413101,640,10,False,1.763357400894165,1.4236000776290894,145,TAGGER_OOB,TAGGEE
15,1697413110,640,10,False,1.7074589729309082,1.5714603662490845,103,TAGGER_HIT_OBS,TAGGEE
16,1697413120,640,10,False,1.329720139503479,1.3849976062774658,100,TAGGEE_HIT_OBS,TAGGER
17,1697413122,640,10,False,1.6880773305892944,1.470649003982544,122,TAGGER_HIT_OBS,TAGGEE
18,1697413127,640,10,False,1.382176160812378,1.488013505935669,139,TAGGER_OOB,TAGGEE
19,1697413138,640,10,False,1.3754804134368896,1.5223370790481567,179,TAGGEE_OOB,TAGGER
20,1697413145,640,10,False,1.7438430786132812,1.229218602180481,129,TAGGER_HIT_OBS,TAGGEE
21,1697413155,640,10,False,1.6137943267822266,1.2499748468399048,142,TAGGEE_OOB,TAGGER
22,1697413162,640,10,False,1.6122517585754397,1.35645854473114,119,TAGGEE_OOB,TAGGER
23,1697413165,640,10,False,1.6308680772781372,1.5613172054290771,101,TAGGEE_OOB,TAGGER
24,1697413167,640,10,False,1.7178831100463867,1.5785070657730105,111,TAGGER_HIT_OBS,TAGGEE
25,1697413170,640,10,False,1.7587227821350098,1.3369457721710205,112,TAGGER_OOB,TAGGEE
26,1697413172,640,10,False,1.747900366783142,1.282445788383484,100,TAGGEE_HIT_OBS,TAGGER
27,1697413173,640,10,False,1.6504740715026855,1.5054036378860474,122,TAGGEE_OOB,TAGGER
28,1697413176,640,10,False,1.4488863945007324,1.1888504028320312,110,TAGGER_OOB,TAGGEE
29,1697413184,640,10,False,1.7037495374679563,1.578413486480713,120,TAGGER_OOB,TAGGEE
30,1697413186,640,10,False,1.7560946941375732,1.5909353494644165,127,TAGGER_HIT_OBS,TAGGEE
31,1697413191,640,10,False,1.5612361431121826,1.152151584625244,102,TAGGER_HIT_OBS,TAGGEE
32,1697413194,640,10,False,1.6983057260513306,1.5011862516403198,167,TAGGER_OOB,TAGGEE
33,1697413202,640,10,False,1.7493854761123655,1.189003825187683,101,TAGGEE_OOB,TAGGER
34,1697413209,640,10,False,1.5496320724487305,1.2240544557571411,107,TAGGER_OOB,TAGGEE
35,1697413211,640,10,False,1.7321845293045044,1.2217981815338137,110,TAGGEE_OOB,TAGGER
36,1697413218,640,10,False,1.756601333618164,1.4007973670959473,112,TAGGEE_HIT_OBS,TAGGER
37,1697413221,640,10,False,1.6803205013275146,1.1297330856323242,148,TAGGEE_HIT_OBS,TAGGER
38,1697413228,640,10,False,1.413407325744629,1.555039644241333,123,TAGGER_OOB,TAGGEE
39,1697413232,640,10,False,1.5623843669891355,1.5844744443893433,110,TAGGER_OOB,TAGGEE
40,1697413242,640,10,False,1.5047646760940552,1.588310480117798,116,TAGGER_OOB,TAGGEE
41,1697413248,640,10,False,1.4720656871795654,1.5737345218658447,144,TAGGER_OOB,TAGGEE
42,1697413251,640,10,False,1.757892608642578,1.5909074544906616,140,TAGGER_OOB,TAGGEE
43,1697413265,640,10,False,1.72562575340271,1.4919450283050537,104,TAGGER_OOB,TAGGEE
44,1697413266,640,10,False,1.3411709070205688,1.5624219179153442,108,TAGGER_OOB,TAGGEE
45,1697413272,640,10,False,1.7627885341644287,1.5386431217193604,133,TAGGEE_OOB,TAGGER
46,1697413275,640,10,False,1.4045450687408447,1.5901256799697876,161,TAGGEE_OOB,TAGGER
47,1697413280,640,10,False,1.766358494758606,1.5051212310791016,111,TAGGEE_OOB,TAGGER
48,1697413281,640,10,False,1.3416050672531128,1.5731571912765503,130,TAGGER_OOB,TAGGEE
49,1697413284,640,10,False,1.3571906089782717,1.5137286186218262,102,TAGGER_HIT_OBS,TAGGEE
50,1697413286,640,10,False,1.7411658763885498,1.5334547758102417,103,TAGGER_OOB,TAGGEE
51,1697413302,640,10,False,1.7497776746749878,1.2423081398010254,100,TAGGEE_OOB,TAGGER
52,1697413306,640,10,False,1.4600971937179563,1.38052499294281,186,TAGGER_OOB,TAGGEE
53,1697413314,640,10,False,1.7168197631835938,1.3732846975326538,139,TAGGER_OOB,TAGGEE
54,1697413325,640,10,False,1.7657248973846436,1.4651161432266235,120,TAGGEE_HIT_OBS,TAGGER
55,1697413333,640,10,False,1.2583361864089966,1.2795535326004028,135,TAGGEE_OOB,TAGGER
56,1697413346,640,10,False,1.3760347366333008,1.3281903266906738,148,TAGGER_OOB,TAGGEE
57,1697413352,640,10,False,1.7675912380218506,1.203971266746521,155,TAGGEE_OOB,TAGGER
58,1697413356,640,10,False,1.4627889394760132,1.4051036834716797,212,TAGGER_OOB,TAGGEE
59,1697413362,640,10,False,1.740177869796753,1.5431077480316162,141,TAGGER_OOB,TAGGEE
60,1697413366,640,10,False,1.6230067014694214,1.5898429155349731,204,TAGGER_OOB,TAGGEE
61,1697413369,640,10,False,1.2821203470230105,1.589432716369629,125,TAGGEE_HIT_OBS,TAGGER
62,1697413371,640,10,False,1.492406964302063,1.3409736156463623,126,TAGGER_OOB,TAGGEE
63,1697413374,640,10,False,1.6385421752929688,1.575106859207153,107,TAGGER_OOB,TAGGEE
64,1697413377,640,10,False,1.6974098682403564,1.489022970199585,129,TAGGER_HIT_OBS,TAGGEE
65,1697413391,640,10,False,1.7005620002746582,1.5323578119277954,100,TAGGEE_HIT_OBS,TAGGER
66,1697413412,640,10,False,1.6011052131652832,1.5381522178649902,100,TAGGEE_OOB,TAGGER
67,1697413414,640,10,False,1.3796731233596802,1.2894999980926514,119,TAGGEE_OOB,TAGGER
68,1697413417,640,10,False,1.38115394115448,1.5292799472808838,101,TAGGER_HIT_OBS,TAGGEE
69,1697413421,640,10,False,1.661808967590332,1.5519860982894895,140,TAGGEE_HIT_OBS,TAGGER
70,1697413424,640,10,False,1.4325309991836548,1.5417654514312744,117,TAGGER_OOB,TAGGEE
71,1697413426,640,10,False,1.418335199356079,1.580573320388794,114,TAGGEE_OOB,TAGGER
72,1697413428,640,10,False,1.7604076862335205,1.5558171272277832,201,TAGGER_OOB,TAGGEE
73,1697413434,640,10,False,1.681348204612732,1.4818575382232666,142,TAGGEE_OOB,TAGGER
74,1697413436,640,10,False,1.6988495588302612,1.231231451034546,112,TAGGEE_OOB,TAGGER
75,1697413442,640,10,False,1.7202463150024414,1.173586368560791,140,TAGGER_OOB,TAGGEE
76,1697413446,640,10,False,1.405512809753418,1.4068814516067505,172,TAGGER_OOB,TAGGEE
77,1697413459,640,10,False,1.6330910921096802,1.590385913848877,181,TAGGER_OOB,TAGGEE
78,1697413463,640,10,False,1.754145622253418,1.5891883373260498,128,TAGGER_OOB,TAGGEE
79,1697413473,640,10,False,1.4883577823638916,1.3588452339172363,102,TAGGER_OOB,TAGGEE
80,1697413475,640,10,False,1.6884465217590332,1.588645339012146,142,TAGGER_HIT_OBS,TAGGEE
81,1697413484,640,10,False,1.3774418830871582,1.4341819286346436,106,TAGGER_OOB,TAGGEE
82,1697413492,640,10,False,1.7677264213562012,1.5672547817230225,121,TAGGEE_OOB,TAGGER
83,1697413499,640,10,False,1.6494519710540771,1.5757389068603516,101,TAGGEE_OOB,TAGGER
84,1697413509,640,10,False,1.7551560401916504,1.4952399730682373,110,TAGGEE_OOB,TAGGER
85,1697413511,640,10,False,1.718508005142212,1.354048728942871,111,TAGGER_HIT_OBS,TAGGEE
86,1697413517,640,10,False,1.6695470809936523,1.3184279203414917,127,TAGGER_OOB,TAGGEE
87,1697413522,640,10,False,1.7569115161895752,1.2379660606384275,118,TAGGER_OOB,TAGGEE
88,1697413524,640,10,False,1.4765644073486328,1.2372912168502808,103,TAGGER_OOB,TAGGEE
